observation_date	PAYNSA
2008-12-01	135715
2009-01-01	132024
2009-02-01	131791
2009-03-01	131658
2009-04-01	131842
2009-05-01	132115
2009-06-01	131934
2009-07-01	130336
2009-08-01	130215
2009-09-01	130573
2009-10-01	131172
2009-11-01	131220
2009-12-01	130673
2010-01-01	127804
2010-02-01	128239
2010-03-01	129073
2010-04-01	130196
2010-05-01	131314
2010-06-01	131432
2010-07-01	130094
2010-08-01	130158
2010-09-01	130652
2010-10-01	131624
2010-11-01	131930
2010-12-01	131624
2011-01-01	128761
2011-02-01	129575
2011-03-01	130481
2011-04-01	131698
2011-05-01	132382
2011-06-01	132871
2011-07-01	131597
2011-08-01	131872
2011-09-01	132618
2011-10-01	133541
2011-11-01	133876
2011-12-01	133701
2012-01-01	131095
2012-02-01	132049
2012-03-01	132953
2012-04-01	133836
2012-05-01	134650
2012-06-01	134987
2012-07-01	133778
2012-08-01	134157
2012-09-01	134785
2012-10-01	135632
2012-11-01	136021
2012-12-01	135946
2013-01-01	133064
2013-02-01	134102
2013-03-01	134901
2013-04-01	135906
2013-05-01	136799
2013-06-01	137208
2013-07-01	136034
2013-08-01	136471
2013-09-01	137079
2013-10-01	138001
2013-11-01	138526
2013-12-01	138275
2014-01-01	135471
2014-02-01	136211
2014-03-01	137169
2014-04-01	138307
2014-05-01	139219
2014-06-01	139806
2014-07-01	138727
2014-08-01	139107
2014-09-01	139793
2014-10-01	140847
2014-11-01	141312
2014-12-01	141308
